Armour,Defense,Soak,Price,Encumbrance,Hard Points,Rare,Restricted,Description
Karflo Thinsuit,0,1,1200,0,0,6,No,"Used by professional scouts, science labs, and special forces the galaxy over, the thinsuit by Karflo Corporation is among the most popular environmental protection gear around. While the most protective equipment specializes in keeping the wearer safe from exposure to a particular environmental condition, the thinsuit provides protection against a wide variety of dangerous environments without hampering movement or slowing reaction speeds. Despite the fact that it grants minimal protection against blasters and other armaments, the ease of transporting it makes it a popular addition to the kit of many elite combat units. Made from a proprietary material that regulates internal conditions while blocking external ones, the thinsuit protects from dangerous temperatures, pressure, radiation, chemicals, and partial vacuums.  The thinsuit is a skin-tight body glove, weighing only one kilogram which provides total coverage for standard humanoids, leaving only the face exposed. The suit comes with a facemask and filtration system that purifies standard atmosphere for up to six hours and provides one hour of internal power. The stock suit comes with six removable filters and power packs, easily stored in the its many pockets.  A character equipped with a thinsuit removes [SETBACK] [SETBACK] imposed by the environment in which she is currently operating from her checks."
Cloaking Coat,0,1,550,4,1,8,Yes,"The slicer generally breaks into electronic defenses, through both automated and droid interfaces. This cloak is laced with a set of sensors which broadcast junk-data, obscuring the bio-signature which would otherwise be detected by anti-personnel systems.  Upgrade difficulty of all checks to detect wearer using sensors or electronic forms of detection twice. This applies to droids with Intellect characteristic lower than the wearer's Computers skill."
Mk. III Flak Vest,0,1,300,3,1,2,No,"This is a basic jacket designed specifically for defense against explosive weapons, producing little defense against other forms of weaponry. Gain +1 soak against damage of the Blast quality"
Blast Vest,0,1,200,3,1,3,No,"This outfit is built from some more primitive fabrics that were especially good at dissipating the impact of slugthrowers. However, they do little against energy weapons.  Gain +2 soak against slugthrowers and other physical projectile weapons."
G-Suit,0,1,2000,2,1,3,No,"G-suits or gravity suits, are special garments worn under flight suits by pilots and racers who are regularly exposed to high g-forces, such as those experienced while racing or performing aggressive aerobatics. G-suits use inflatable bladders, pressurized gel pockets, and compression garments to keep the pilot's blood from pooling in their lower extremities, causing a dangerous condition known as, G-LOC (g-induced loss of consciousness) which occurs when the brain is deprived of blood. G-suits pilots to push their ships or vehicles further and operate them more aggressively without fear of blacking out.Â  A character wearing a g-suit reduces the strain cost to perform a second Pilot Only maneuver during a turn by 1."
Lector's Outfit,0,1,525,2,1,6,No,"This set of clothes is fitted with microphones in the collar, allowing the wearer to give a speech on the fly without employing a personal announcement system. Add 1 boost die to social interactions with large groups of listeners. Can be heard clearly over longer distances"
Adverse Environmental Gear,0,1,500,2,1,1,No,"This is a specialized set of clothing which allow an individual to resist the hostile environment of a planet. When wearing this, an individual may ignore 1 setback die imposed by the harsh conditions of the environment."
Pioneer Armour,0,1,200,2,1,4,No,"This suit is designed with a front-line engineer in mind, providing a little necessary protection as well as a set of straps and hooks which allow the wearer to distribute the weight of all their tools and materials.  Increase wearer's encumbrance threshold by 3"
Sakiyan Shadowsuit,0,1,2500,1,1,8,No,"This outfit is sown from the silk of the umbraspider, used by Sakiyan assassins to remain unseen. The fabric refracts and absorbs light in such a way that makes the wearer invisible.  Add 2 boost dice to Stealth checks"
Crash Gear,0,1,550,1,1,3,No,"Most sets of crash gear consist of an assortment of protective wear designed to allow a user to better survive inevitable collisions and buffeting that are part of every race or mission. Typical outerwear includes layers of microfiber cloth and impact absorbing gel inserts worked into a jumpsuit or other form-fitting outfit, along with thick gloves and boots. Most importantly, crash gear comes with protective headwear. These can range from small skullcaps (know colloquially as ""skid lids"") to full-face, internally supported, environmentally sealed helmets that can rival military gear. Like crash gear outerwear, crash helmets include get-packs and wicking microfiber but also have strong polycarbonate shells lined with dense polyfoam for greater protection. Some helmets are also equipped with integral face shields or flup-up visors that are tinted and polarized to protect the wearer's eyes from debris and flaring lights. A character wearing crash gear ignores the effects of ongoing Critical Injuries on any Intellect or Cunning-related checks, but still suffers from the injuries themselves, She also cannot be disoriented."
Polis Massan Bodysuit,0,1,300,1,1,6,No,Polis Massan have a unique body suit that they employ due to the nature of the work they do upon their asteroid base. Includes a tiny head-mounted multidirection glow rod and integrated utility belt (increases encumbrance threshold by 1)
Pit Crew Overalls,0,1,150,1,1,2,No,This set of clothing is built with pockets and of a material which may protect the wearer from the hazards of working as a pod racer pit crew. Reduce damage suffered from fire and burn quality by 1. Grants encumbrance threshold +1.
Verpine Fiber Ultramesh Armour,0,1,3000,3,2,5,No,"This armour produced by the Verpine colony, used by guards, is an excellent light-weight piece of equipment that provides the user with adequate defense when needed. Power up (or down) the armour with a maneuver. When powered up, wearer gains +2 defense. Power armour may run out of power if an opposing character gets 2 advantages or a triumph result."
Survivalist Armour,0,1,350,3,2,6,No,"Creshaldyne Industries known throughout the galaxy as a purveyor of finely made working clothes for hunters, scouts, and others who live in frontier settings. it offers multiple lines of clothing and armor in a number of proprietary colors and camouflage patterns as well as camping and hunting gear for the discerning buyer. One of the company's newer offerings is the Survivalist line of personal armor. Similar in construction to the ubiquitous padded armor found in police forces and paramilitary organizations throughout the galaxy. the Survivalist line is lightweight and hard wearing, and performs well in nearly every environment. A suit of Survivalist armor provides whole-body protection with reinforcement patches at the elbows, knees and shoulders. Each suit features an integrated load-carrying system that combines a collection of pouches of various sizes with attachments for external bags, backpacks and systems to aid with its load-carrying capabilities. Wearing a suit of Survivalist armor increases the wearer's encumbrance threshold by 1.  Increase encumbrance threshold by 1."
Reinforced Environment Gear,0,1,850,2,2,4,No,"This gear is virtually an improved adverse environment gear, sold to colonists planning on braving hostile conditions to settle a planet of the fringe.  Ignore 1 setback dice imposed by environmental conditions. Reduce critical injury rolls from fall by 20.  Add 1 boost dice to Resilience checks to resist toxic atmospheres and airborne toxins."
Climbsuit,0,1,1450,2,2,4,No,"The Climbsuit is a popular set of armour designed specifically for climbing as the name indicates. It is a full-body suit made of impact-absorbing lightweight fabrics, along with a set of load-bearing straps on an integrated harness. Upgrade ability of wearer's checks to climb or rappel down a surface once. Reduce damage and strain suffered by falling by 5 and critical injury results from falling by 10"
Holographic Costume,1,0,750,2,0,8,No,"This glossy form-fitting suit is lined with holoprojectors that are capable of projecting any dress our outfit programmed upon the user. Recording a new garment requires an Easy (1 difficulty) Computers check while in possession of the clothing, or a Daunting (4 difficulty) Computers check to create a copy of the clothes that are not in hand"
Heavy Robes,1,0,150,1,0,2,No,"Often worn by Jedi for ceremonial purposes, they provide little defense against incoming damage except in making the wearer's profile harder to ascertain for an accurate shot. "
Individual Field Disruptor,1,0,9500,0,0,7,Yes,"A field disruptor is usually used to disable starship or vehicle shielding, but scaled down it allows the neutralising of a target's defenses and weaponry. If the field of a disruptor contacts another energy field, the other field ceases to offer any defense as long as they intersect. If the field enters in range of a droid, the droid suffers 5 stun damage. If the field enters in range of an electronic device, the device shorts out and becomes inactive for the rest of the encounter. If the wearer makes a melee attack while the field is active, the wearer counts as being armed with a Melee weapon with +2 damage and Stun Damage quality."
Megafauna CarriageÂ (for animals),1,0,5500,5,2,7,No,"This is a broad platform that can be attached to a creature's back to form a canopy which is great for weapon emplacements. May only be worn by riding creatures with a silhouette of at least 3 and a brawn rating of at least 5. If the creatures has more than 4 legs, modifications require 500 credits extra. May attach one or two vehicle sized weapons following usual rules. May ride beast without bareback penalty."
TX-3 Combat Flight Suit,1,0,3000,4,2,6,Yes,"Produced for system defense force pilots, the flight suit protects pilots from the dangers of space combat. It is similar in design to the Imperial flight suit.  Survive up to 24 hours in hard vacuum (without external oxygen source)"
Biogel Suit,0,2,350,6,0,1,No,These suits have been used by students and teachers to protect themselves during martial arts training. The body-glove is designed to prevent blunt force but is quite bulky. Add +1 soak when the wearer suffers damage from Brawl or bludgeoning Melee weapons. Add 1 setback dice to any Brawn or Agility checks while wearing this armour.
Jedi Training Suit,0,2,400,04-Jun,0,9,Yes,"Used to train the Jedi's athletic abilities and prepare them for true combat, it was usually accompanied with a blinding helmet. It features in-built weights. Encumbrance is 6 until weights are removed by an easy (1 difficulty) mechanics check."
Padded Beast ArmourÂ (for animals),0,2,2500,4,0,5,No,This set of flexible heavy-duty fibres and armour weave is built to add versatile protection to riding beasts. Can only be worn by beasts. Allows riding without bareback penalties.
"""Storm"" Charge Suit",0,2,2000,3,0,6,No,"The ""Storm"" suit is essentially padded armour lined with fabrics which are resistant to electrical energy. When switched on, it is able to channel the electrical energy into an enemy which comes into direct contact with the suit. If an attacker using melee gets a despair result, they are hit by an attack dealing 8 damage to strain. If the attack generates 2 disadvantage results, attacker is disoriented for 1 round. Counts as being equipped with Shock Gloves."
Sith Pain Harness,0,2,3500,2,0,9,Yes,"This piece of 'armour' was developed over many generation by the sith to reinforce their philosophy. While moving in this armour, one must proceed with extreme care to not be injured by the sharp interlocking metal plates that make it up. Wearer may suffer one wound as an incidental to add an automatic success to the next discipline check they make during the current round, then suffer 1 conflict."
Padded Armour,0,2,500,2,0,1,No,"A common form of armour used by security, consisting of certain plates weaved onto the clothes beneath."
Custom Tailored Armoured Jacket,0,2,6200,1,0,7,No,"Produced by a small boutique manufacturer, this outfit is a protective piece of clothing, exclusively tailoured to order. It is popular with those of influential positions and entertainers, being quite a great first impression.  When worn by person it is tailored to, add an automatic advantage result to any successful Charm, Deception or Negotiation checks done in person."
Catch Vest,0,2,300,1,0,3,No,This is an outfit made of energy-dispersing fabrics and generally as good as laminate when it comes to defense against blaster shots - yet not so good when it comes to anything else.  Only counts as Soak 1 against non-energy weapons.
Ancient Battle Armour,0,2,3750,6,1,9,No,"The armour worn by the ancient jedi fits the threats of the time, and thus don't necessarily hold up to the more advanced equipment found today. Found in archaeological digs, force users may find something special about these defensive plates. Gain Defense +1 when this is worn by a character with a force rating of 1 or higher."
Mechanic's Utility Suit,0,2,1175,5,1,3,No,This set of clothing is really just a utility suit lined with pockets and straps filled with all sorts of common tools that the technician may require. Counts as having a tool kit
Hunter's Trophy Suit,0,2,2000,4,1,9,Yes,"Hunters often enjoy displaying their prowess in the wild, crafting suits of armour out of the hide and skins of their prey. While these outfits can be bought outright - most will take a creature's skin to be made custom.  If bought pre-made;  If user supplies the hide of the beast to create the armour; Add 1 setback dice to Charm checks, but add 2 boost dice to Coercion checks."
"""Luck"" Armour",0,2,1000,4,1,5,No,"The Creshaldyne riot armour, as it is properly called, is favoured by many security forces in the galaxy. Due to its integrated motion and infrared sensors, the wearer is well aware of their surroundings. Add 1 advantage result to Vigilance checks."
Chitin Armour,0,2,600,4,1,6,No,"Chitin armor is usually made by hand from the husk of carious giant insect species found throughout the galaxy. Essentially a poor person's composite armor, chitin armor is made by working insect carapaces into protective plates and attaching them to a flexible backing. This is typically standard cloth, but occasionally more advanced materials like nylamesh or the ballistic cloth used in armored bodysuits is used. Each suit of chitin armor is unique. Depending on the materials used a chitin suit can be any color or style imaginable. The creatures whose hides are used in the construction of a suit of chitin armor might also offer protective qualities such as the ability to better deflect blaster bolts or blend into specific environments. Chitin armor makes a strong statement about the wearer, and these suits tend to have a startling effect on people in civilized society. A character wearing a suit of chitin armor adds automatic [ADVANTAGE] to her coercion checks and automatic [THREAT] on her charm checks. The Game Master may determine that the armor provides further benefits of drawbacks depending on the situations. Add an advantage result to Coercion checks, and a disadvantage result to Charm checks."
NightStalker Infiltration Suit,0,2,4800,2,1,9,Yes,This lightweight yet durable suit of armour combines decent protection with light and sound dampening materials that result in a stealth enhancing suit. Add an automatic success to Stealth checks. Add an automatic disadvantage to social skill checks.
Shockrider Crash Suit,0,2,3000,2,1,3,No,"This suit is built for pilots of extremely fast atmospheric vehicles, to protect them against possible harm when suffering collisions. Reduce strain to the pilot due to a critical hit to the vehicle by 1. Reduce damage due to fire and the burn quality by 1."
Enviro-suit,0,2,750,2,1,2,No,These suits are generally full body and bulky suits that are environmentally sealed and reinforced against whatever hostile elements will be most pertinent. Protects user from a specified environmental condition for 8 hours. Add 1 setback dice to any Agility-based or Perception checks while wearing the suit.
P-14 Hazardous Industry Suit,0,2,1000,7,2,4,No,"Technicians work with relatively dangerous equipment and materials, and this suit is an especially heavy-duty form. It allows defense against fire and bright lights, or other hazards, even blaster bolts. Counts as a breath mask. Add 2 boost dice to Resilience checks to resist heat, cold, radiation and other hostile environmental conditions. Do not suffer Burn or Disorient qualities. Suffer 1 additional strain to take an extra maneuver."
"Mk II ""Hotspot"" Insulated Armour",0,2,5500,6,2,7,Yes,"This clone trooper laminate armour has been modified for use by Flame Troopers, a specialised unit of the GAR. Due to their use of flame projectors - which are quite dangerous weapons in their own right - this armour was produced to reduce the adverse health effects.  Comes with built-in comlink. Add 2 boost dice to checks for avoiding adverse effects from exposure to extreme heat or toxic gases. Reduces damage from fire and hazardous environments by 1. Attackers must spend 1 additional advantage result to activate Burn Item, and treat quality as 1 lower."
HT-77 Cold Assault Armour,0,2,4000,6,2,7,Yes,This set of laminate clone armour has been specially modified with additional flaps and thermal seals to resist temperature differences. The helmets are also equipped with slightly improved optics to keep visibility of the trooper despite blizzard cover.  Comes with built-in comlink. Add 2 boost dice to checks for avoiding adverse effects from exposure to cold temperatures and weather. Remove 1 setback dice imposed by cold-weather conditions on Perception checks.
Formal Council Armour,0,2,8000,5,2,10,Yes,These are very ornate suits worn by members of the Jedi Council when sent to act on behalf of the council with societies entrenched in high class and tradition. Add 2 advantage results to Negotiation checks when interacting with individuals who hold Jedi in high regard. [At GM's discretion:] Add 2 advantage results to Coercion checks when interacting with individuals who hate/fear the Jedi.
Scavenged Clone Armour,0,2,1000,5,2,4,Yes,"Clone armour, although built to fit a clone trooper, provides a decent amount of protection - and it is easy to find among the battlefields of the Clone Wars. Despite the unwanted attention and awkwardness of modifying the armour to fit another being, some still choose to take it for their own use. Add 1 setback dice to Coordination and Stealth checks. Suffer 1+ setback dice when interacting with Republic officials and representatives"
Seascape Diving Suit,0,2,400,3,2,2,No,"Due to the surprisingly large number of sentient species which live amphibiously, the SeaScape suit has become especially popular among diplomats from land-based civilisations as it facilitates underwater negotiations. Provides 6 hours of atmosphere, water and nutrition supplements to the wearer. Wearer does not suffer movement penalties for travelling through water."
Riot Armour,0,2,950,3,2,4,No,"Produced by countless manufacturers throughout the galaxy, riot armor is a general term for light combat armor designed for personal protection in high-intensity conflicts. Though designs vary, riot armor often includes a helmet with an integrated face shield and padded vest and greaves interwoven with ballistic cloth. Given its ubiquity and customizability, riot armor remains a popular choice for anyone interested in self-defense on a budget."
Clone Dive Armour,0,2,4500,3,2,7,Yes,"Designed for use by the Clones when fighting on the water worlds of the republic, such as Mon Cala, they were designed to provide the non-aquatic species the necessary qualities for combat in such environments. Provides 12 hours of oxygen, a fresh water supply, nutrition supplements and other biological necessities. Wearer does not suffer movement penalties through water. Remove 1 setback dice from Perception checks due to underwater conditions."
Clone Reconnaissance Armour,0,2,4000,3,2,6,Yes,This armour was distributed to troopers sent on scouting and recon missions where stealth was more important than protection. It minimized some of the armour plating in favour of providing mobility. Often it was repainted by troopers for the terrain they were deployed to. Add 1 boost dice to Stealth checks. Remove 1 setback dice from visual Perception check made thanks to the visor's integrated thermal and low-light sensors.
Alliance Light Stealth Armour,0,2,2200,3,2,7,Yes,"The inferior numbers and resources of the Alliance military force rebel soldiers to rely on stealth and subterfuge to accomplish most of their missions. Unfortunately, cutting-edge Imperial sensors can often detect life forms and energy signatures from conventional blaster weaponry, making some infiltration missions impossible. Rebel Soldiers have sometimes acquired functioning storm commando armor, but stealing from the enemy is not an especially reliable means of resupplying. That is why Alliance R&amp;D reverse-engineered the technology behind storm commando armor and developed their own, albeit lower-grade stealth armor. Most Alliance stealth armor is retrofitted MkII Clone Trooper armor leftover from the final days of the Republic sprayed in various camouflage patterns or a matte black. A coating of specialized material absorbs some light and sound waves making it easier for marines and special forces troops to move about unnoticed by sensors and sentries. This Armor adds [BOOST] to the wearer's Stealth checks. Add 1 boost die to Stealth checks."
Laminate Armour,0,2,2500,4,3,5,No,"Laminate armour is a set of plastoid plates put together onto a body-tight mesh below, such as the armour of Stormtroopers. Helmet includes vision enhancements and integrated comlinks."
Phase I Clone Trooper Armour,0,2,2000,4,3,6,Yes,"Mass-produced for use by the first batch of clones, this laminate armour focuses on function and protection. Full-body plating over a sealed body suit, the outfit was often customised as troopers built their individuality. However, comfort was placed as the lowest priority when this was designed, making it a bit awkward for those unfamiliar with it. Includes a Comlink"
Imperial Storm Commando Armour,0,2,5000,4,4,9,Yes,"Storm commandos are among the Empire's most elite, with the most advanced equipment available. Their armor allows the same flexibility as scout trooper armor, but is reinforced to provide maximum protection against blaster fire and explosions. Both the bodysuit and laminate plates are coated in ""reflec"" polymer, which distorts light and absorbs sound, making the wearer incredibly difficult to detect. The armor's helmet is equipped with macro binoculars and scanner goggles (see page 191 of the Age of Rebellion Core Rulebook) as well as a comlink. While wearing storm commando armor, a character removes [SETBACK] due to darkness, smoke, or similar environmental factors that obscure vision from all of her Perception, Vigilance, and combat checks. Additionally, storm commando armor adds [SETBACK] to other characters' Perception checks to detect the wearer."
Phase II Clone Trooper Armour,0,2,3000,4,4,6,Yes,"Phase II of the clone armour was brought in due to an increasing realization that Phase I armour was lacking in adaptability. While the internal life support systems were removed to make way for the more modular nature of the armour, attachments were produced to make up for this. Includes a Comlink with scrambler capable of using all standard republic communications protocols"
N-57 Armour,0,2,3000,5,5,6,No,"This piece of armour was designed specifically for combat engineers, sold on the general market. This provides a decent degree of protection while ensuring an engineer will have the energy packs required to boost external equipment. As a maneuver, recharge an energy weapon or device that has run out of power or ammunition."
Layered Beast ArmourÂ (for animals),1,1,2500,4,0,5,No,"Light and easy to maintain, the AniPro-series layered beast armor by Vetech strikes a good balance between protection and practicality. Somewhat similar to armor suits worn by many of the galaxies law enforcement officers, it is made from thick layers of synthetic fibers reinforced with lengths of energy absorbing armorweave. This material is backed with thin polycarbonate plates at strategic locations on an animals neck, shoulders, back, and legs. Thanks to its design and lightweight construction, AniPro armor doesn't weigh an animal down or restrict it's speed or range of motion, making it easy to wear for extended lengths of time. AniPro beast armor can only be worn by riding or working animals, in addition to providing protection to a mount, this armor allows a character to ride the animal without suffering the bareback riding penalties detailed on page 75. Can only be worn by riding or working animals. Allows rider to ignore bareback riding penalties."
Smuggler's Trenchcoat,1,1,1650,3,0,7,No,"Used by many smugglers, this coat is useful for keeping items of interest concealed from the authorities, as well as obfuscating one's form which makes it difficult to hit.  Checks to find items within trenchcoat requires an opposed check with wearer's Skulduggery. Can conceal 2 encumbrance worth of items."
Koromondain Half-Vest,1,1,500,3,0,5,No,"A low cost piece of armour, yet still providing significant protection. The setback in this case is the low durability. When suffering a critical hit, damage the armour by one step."
Second Skin Armour,1,1,2000,2,0,7,No,"This specialised suit of armour is extremely thin, allowing one to wear it beneath a set of regular clothing, conferring protection without the bulky appearance. Add 2 setback dice to Perception checks to notice the armour on the wearer."
Mk.IV Riot Armour,1,1,1850,3,1,6,Yes,"This riot armour is exclusively sold to law enforcement agencies and governments. It is advertised as the last word in protection for riot police, relatively light weight and blast-resistant.  Includes a breath-mask that filters out airborne toxins and gases. Reduce duration of staggered and disoriented effects by 1 round (to minimum of 1 round)."
Wing Commander Armoured Flight Suit,1,1,1500,3,1,6,No,"Following the design of the Shockrider, this flight suit which is created for space flight and an extra set of deflective plating. It is sealable. Reduce strain to the pilot due to a critical hit to the vehicle by 1. Reduce damage due to fire and the burn quality by 1."
Armoured Clothing,1,1,1000,3,1,6,No,"This clothing is a tad bulkier than normal, due to the inclusion of energy-dispersion mesh and other damage soaking pads. For an individual to detect that the clothing is armored, must roll an average (2 difficulty) perception check."
Personal Mimetic Concealment Suit,1,1,8000,2,2,8,Yes,"This suit is considered one of the best stealth implements available on the market. While active, it uses optical camouflage to bend light around the wearer and reflect images of the surrounding area. It also has electromagnetic and heat shielding systems to make the wearer invisible to common sensors. The suit is powered by an extremely high output energy cell that can run for about an hour of constant use. Upgrade ability of stealth checks twice. Getting 3 disadvantages or a despair result may cause the suit's power pack to run dry."
Zephyr Stealth Suit,1,1,5500,2,1,8,Yes,This suit is built to conceal the wearer both from sight and technological detectors. This model is common among vigilantes and criminals. Upgrade ability of stealth checks by 1.
Armoured Drop Suit,1,1,7500,6,2,7,No,"The drop suit is used by special operations troopers, keeping the defended by light laminate - placed in such a way to keep full mobility. It has an in-built repulsor engine that allows a user to quickly move between cover and vantage points in combat.  Engage flight systems as a maneuver, functioning as a Silhouette 0 vehicle with Speed 2, Handling +2 &amp; System Strain 3 requiring Piloting (Planetary). While systems are engaged and user is conscious, do not suffer damage from falls."
"""Gundark"" Scav-Suit",1,1,3000,4,2,6,No,"This suit was designed for salvagers and collectors, to assist in finding and assessing all sorts of technology in scrap yards or battlefield wrecks. The helmet carries an advanced sensor suite to greatly facilitate this task.  Add 1 boost dice to Perception checks and an additional 1 boost dice to all checks for detection or analysis of technological parts and items. Suffer 1 setback dice to all Perception checks if the suit becomes damaged in some way."
Powered Capacitive Armour,1,1,3000,4,2,8,Yes,"This is a popular item from the line of lightweight armour types, offering flexible protection at all times. However, it contains a power source, that when active, locks the plates in place. May power up armour as a maneuver, gaining defense +1 and soak +1. However, lose free maneuver."
CF-9 Naval Flight Suit,1,1,1200,3,2,6,Yes,"These flight suits are produced specifically for clone trooper pilots. They provide the necessary armour for combat situations where the pilot is left without their vehicle, but not too much that it restricts necessary movement for flight.  Includes built-in respirator. Remove 1 setback dice from Piloting (Space and Planetary) checks added due to danger or stress of the action."
Mountaineer Armour,1,1,1800,3,2,6,No,This is a thick yet flexible and lightweight suit. It has a set of loops and straps integrated into the outfit's frame - allowing for ropes and rappelling gear to be more efficiently used.  Add 2 boost dice to Athletics checks for climbing or rappel
Hauling Harness,1,1,1000,3,2,6,No,"This set of braces and harnesses is a prized piece of equipment in many industries, allowing users to carry heavy loads around when needed, without droid assistance. Increase encumbrance capacity by 6, upgrade combat checks difficulty twice"
Jedi Reconnaissance Armour,1,1,4000,2,2,8,No,These modified robes were designed to increase Jedi mobility while still allowing for some amount of protection. Add 1 boost dice to Stealth checks
"""Berethron"" Personal Modular Armour",1,1,1250,3,3,6,Yes,"This outfit is designed from a protective and lightweight mesh fibre, along with a set of armour plates. It is popular due to the ease for modification. "
Personal Deflector Shield,2,0,10000,3,0,8,No,"This is a device worn on a person, able to produce an energy/ray shield which projects around the person who wears it. It may shut down if the wielder rolls a critical failure."
Reflect Body Glove,0,3,2500,2,0,5,No,"This skintight suit is typically worn under normal clothing and is extremely effective in providing temporary protection by dispersing energy weapon blasts. However, as it is quite thin, the armour is particularly fragile and susceptible to wear &amp; tear. Add 2 setback dice to Vigilance and Perception checks to notice that the wearer is wearing a reflect body glove. When a combat check against the wearer is successful, reduce the soak by 1 (to a minimum of 0). This may be restored to the original value by making a successful average (2 difficulty) Mechanics check."
"""Steelskin"" Anti-Concussive Armour",0,3,6500,8,1,7,Yes,"This is extremely heavy non-powered armour, drawing significant attention on most worlds. Generally, only the strongest species have the strength to bear this armour. Add 1 setback dice to Brawn- and Agility-based checks while wearing armour. Reduce rounds staggered or disoriented by 1."
Imperial Hazard Trooper Armour,0,3,18000,4,3,8,Yes,"Imperial Storm Troopers have specialized armor for nearly every situation, and the Imperial hazardous environment protective armor, or ""hazard trooper armor"" is one of the most rugged armor suits in the corps. Using a powered armor frame similar to that of space troopers, hazard trooper armor augments the strength of the wearer and provides protection against radiation, acids, toxic chemical, and extreme pressures or vacuums. Movement in the armor is sluggish due to it's bulk, but a neural interface with the wearer's cybernetics reduces the response time to a minimum, ensuring marksmanship is unimpeded by the armor. While manufactured by the Empire for its exclusive use, hazard trooper armor often finds it's way into the hands of the Rebel Alliance. Hazard troopers are known for their incredible strength, but this actually stems from the troopers standard cybernetic enhancements rather any quality of the armor. More than a few rebel operatives have been disappointed to discover this face after claiming a set of hazard trooper armor in battle. Once active, the armor's internal life support and power systems allow the wearer to survive in radiation zones, toxic environments, and total vacuums for up to twenty four hours. The armor also incorporates a high-powered comlink able to communicate from the ground to low orbit. The helmet is equipped with a multi-frequency targeting and acquisition system which removes the [SETBACK][SETBACK] due to darkness, smoke, or similar environmental factors that obscure vision from the wearer's Perception, Vigilance, and combat checks."
Timber Cuirass,1,2,4000,4,1,5,No,"Tholothians turned to developing their own weapons and body armour following the Empire's blockades that aimed to make imported weaponry and armour prohibitively costly. This armour is a marvel of craftsmanship, using a single living piece of Heartwood, which ends up being as strong as durasteel but without the weight. "
Armoured Robes,1,2,4500,5,2,8,No,"A set of plastoid armour worn under robes, used by Jedi during the Clone Wars, this set of armour is illegal on all imperial worlds."
