Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
Improved Animal Bond,Passive,No,"Force talent. When spending a maneuver to direct a bonded animal, the character may suffer 1 strain to add a boost dice to the animal's next check.",https://star-wars-rpg-ffg.fandom.com/wiki/Animal_Bond_talent,False,True,Animal Bond-B,False,False
Animal Empathy,Passive,No,"Force talent. When making checks to handle, tame, or control animals, the character may add a number of Force dice no greater than their Force rating to the check. The character may spend Force points to add successes or advantages (character's choice) to the result.",https://star-wars-rpg-ffg.fandom.com/wiki/Animal_Empathy_talent,True,True,Animal Empathy-A,False,False
Another's Treasure,Passive,No,"The condition of an item does not affect the price the character receives when selling it. In addition, the character can always find a buyer for an item, no matter its condition or how useless or worthless it may seem. The details of the transaction are subject to the GM's discretion, as always, and a buyer might not be immediately (or easily) available.",https://star-wars-rpg-ffg.fandom.com/wiki/Another%27s_Treasure_talent,True,False,Another's Treasure-A,False,False
Armor Master,Passive,No,"While wearing armor, the character increases their total soak value by one.",https://star-wars-rpg-ffg.fandom.com/wiki/Armor_Master_talent,True,False,Armor Master-A,False,False
Improved Armor Master,Passive,No,"When wearing armor with a soak value of two or higher, the character increases their defense by one.",https://star-wars-rpg-ffg.fandom.com/wiki/Armor_Master_talent,False,False,Armor Master-B,False,False
Supreme Armor Master,"Active (Incidental, Out of Turn)",No,"Once per round, when the character suffers a Critical Injury, they may suffer 3 strain to take the Armor Master incidental. If they do, they reduce the Critical Injury result that they suffer by 10 per point of their soak, to a minimum of 1.",https://star-wars-rpg-ffg.fandom.com/wiki/Armor_Master_talent,False,False,Armor Master-C,False,False
As The Force Wills It,Passive,No,The character may make an Easy Knowledge (Lore) check (instead of Discipline or Cool) to heal strain at the end of an encounter. Triumph result may be spent to heal all strain.,https://star-wars-rpg-ffg.fandom.com/wiki/As_The_Force_Wills_It_talent,True,False,As The Force Wills It-A,False,False
Assault Drop,Active (Incidental),No,"Once per session while piloting a vehicle or ship, the character may perform the Assault Drop incidental. All passengers aboard or allies engaged with the vehicle or ship may immediately disembark or embark as an out-of-turn incidental.",https://star-wars-rpg-ffg.fandom.com/wiki/Assault_Drop_talent,True,False,Assault Drop-A,False,False
At Any Cost,Active (Incidental),No,"The character may suffer a Critical Injury to force a Mass Combat check to be rerolled. At the GM's discretion, the character may be required to sacrifice an item, vehicle, or individual of personal significance instead.",https://star-wars-rpg-ffg.fandom.com/wiki/At_Any_Cost_talent,True,False,At Any Cost-A,False,False
Ataru Technique,Passive,No,"Force talent. When making a Lightsaber skill check, the character may use Agility instead of Brawn.",https://star-wars-rpg-ffg.fandom.com/wiki/Ataru_Technique_talent,True,True,Ataru Technique-A,False,False
Backroom Deal,Active (Action),No,"Once per encounter, the character may take the Backroom Deal action, making a Hard Negotiation check. If the check succeeds, the character (or player) reveals how their previously unknown dealings have a meaningful impact on the current scene or encounter. The nature of the revelation and its impact on the scene are ultimately subject to the GM's discretion, but they should give a significant advantage to the PCs. If the check fails and generates a despair, however, the GM may decide that the character's disastrously failed deal has negative repercussions.",https://star-wars-rpg-ffg.fandom.com/wiki/Backroom_Deal_talent,True,False,Backroom Deal-A,False,False
Bacta Specialist,Passive,Yes,Patients under the character's supervision heal one additional wound per rank of Bacta Specialist each time they heal a wound while recovering in a bacta tank or under supervised medical conditions or long-term care.,https://star-wars-rpg-ffg.fandom.com/wiki/Bacta_Specialist_talent,True,False,Bacta Specialist-A,True,False
Bad Cop,Passive,Yes,The character may spend two advantage results from a Deception or Coercion check to upgrade the ability of a single ally's subsequent social interaction skill check against the same target in the same encounter. Upgrade the ability a number of times equal to the character's ranks in Bad Cop. A single check may only benefit from one use of Bad Cop.,https://star-wars-rpg-ffg.fandom.com/wiki/Bad_Cop_talent,True,False,Bad Cop-A,True,False
Bad Motivator,Active (Action),No,"Once per game session, the character may take a Bad Motivator action to make a Hard Mechanics check. If successful, one device (subject to the GM's approval) spontaneously fails due to the character's involvement, or because it was about to fail anyway and the character noticed it (this is the character's decision).",https://star-wars-rpg-ffg.fandom.com/wiki/Bad_Motivator_talent,True,False,Bad Motivator-A,False,False
Bad Press,Active (Action),No,"Once per session, the character may take the Bad Press action by choosing a specific organization and making a Hard Deception check. If they succeed, members of this organization have their wound thresholds reduced by 1, plus 1 per additional three success results (to a minimum of 1), until the end of the session. When they do this, the player must explain how the PC disseminated the propaganda such that it has affected their targets. The chosen organization must be narrow and cohesive enough to be affected by bad publicity - for example, the Imperial Navy or Gorensla Kajidic. The Bad Press action cannot affect all members of single group as broad as the entire Empire or one as fractious as the Hutts. The PC must have time and means to spread misinformation, and cannot use this action during a combat encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/Bad_Press_talent,True,False,Bad Press-A,False,False
Balance,Active (Maneuver),No,"Force talent. When the character recovers from strain at the end of each encounter, they may roll Force dice no greater than their Force rating. They recover additional strain equal to the Force points generated.",https://star-wars-rpg-ffg.fandom.com/wiki/Balance_talent,True,True,Balance-A,False,False
Baleful Gaze,"Active (Incidental, Out of Turn)",No,"Force talent. When targeted by a combat check made by an enemy within medium range, the character may spend a Destiny Point to upgrade the difficulty of the check a number of times equal to their ranks of Coercion. A character who has purchased this talent automatically gains 1 Conflict at the beginning of each session.",https://star-wars-rpg-ffg.fandom.com/wiki/Baleful_Gaze_talent,True,True,Baleful Gaze-A,False,False
Barrage,Passive,Yes,Add one damage per rank of Barrage to one hit of successful Ranged (Heavy) or Gunnery attacks with non-starship/vehicle weapons at long or extreme range.,https://star-wars-rpg-ffg.fandom.com/wiki/Barrage_talent,True,False,Barrage-A,True,False
Barrel Roll,"Active (Incidental, Out of Turn)",No,"When a vehicle or starship the character is piloting suffers a hit from a combat check, after damage is calculated but before armor is applied, the character may take a Barrel Roll incidental. Their ship suffers 3 system strain, and the damage of that hit is reduced by an amount equal to their ranks in the Piloting skill used for that vehicle. This talent may only be used once per attack and only when the character is piloting a vehicle or starship of silhouette 3 or less.",https://star-wars-rpg-ffg.fandom.com/wiki/Barrel_Roll_talent,True,False,Barrel Roll-A,False,False
Improved Barrel Roll,Passive,No,"When the character takes the Barrel Roll incidental, reduce damage of all hits (instead of only one hit) of the attack by the character's ranks in the relevant Piloting skill.",https://star-wars-rpg-ffg.fandom.com/wiki/Barrel_Roll_talent,False,False,Barrel Roll-B,False,False
Supreme Barrel Roll,Passive,No,"When the character uses Barrel Roll to reduce the damage from a weapon with the Auto-fire, Blast, or Guided item qualities, they may spend a despair or three treats to inflict one hit on the attacker or another enemy vehicle or starship within close range after the initial attack resolves. The hit deals the base damage of the original attack.",https://star-wars-rpg-ffg.fandom.com/wiki/Barrel_Roll_talent,False,False,Barrel Roll-C,False,False
Basic Combat Training,Passive,No,Brawl and Ranged (Light) become career skills.,https://star-wars-rpg-ffg.fandom.com/wiki/Basic_Combat_Training_talent,True,False,Basic Combat Training-A,False,False
Battle Meditation,Force Ability,Force Ability,This force power allows one to unite their allies around them with the force in order to perform better as a group.,https://star-wars-rpg-ffg.fandom.com/wiki/Battle_Meditation,True,True,Battle Meditation-A,False,True
Beast Wrangler,Passive,Yes,The character adds a boost dice per rank of Beast Wrangler to all their checks made to tame or wrangle creatures.,https://star-wars-rpg-ffg.fandom.com/wiki/Beast_Wrangler_talent,True,False,Beast Wrangler-A,True,False
Beginner's Luck,Active (Incidental),No,"Force talent. Once per session when the character makes a check, the character may add successes equal to the number of light side Destiny Points in the Destiny pool to the results.",https://star-wars-rpg-ffg.fandom.com/wiki/Beginner%27s_Luck_talent,True,True,Beginner's Luck-A,False,False
Better Luck Next Time,Active (Action),No,"Once per session during a race or chase, the character may perform the Better Luck Next Time action. They make a Hard Cool check. If they succeed, something terrible happens to one of their competitors. This could be a high-speed collision, having to dodge into a dead end to avoid an obstackle, or even an attack by enraged fans or spectators, as long as the GM approves it. At minimum, the competitor should suffer a major collision with an obstacle.",https://star-wars-rpg-ffg.fandom.com/wiki/Better_Luck_Next_Time_talent,True,False,Better Luck Next Time-A,False,False
Biggest Fan,Active (Action),No,"Once per session, the character may take a Biggest Fan action to make a Hard Charm check. If successful, on NPC of the character's choice in the current encounter turns out to be the character's self-proclaimed ""biggest fan."" The exact effects of this vary depending on the NPC and the situation. They can include drastically decreasing the difficulty of Social Interaction skill checks the character makes targeting their biggest fan, the fan being willing to perform minor or even significant favors for the character, or the character even becoming a reoccurring ally in the narrative. At the GM's discretion, this talent may not be able to target certain NPCs whose adversarial nature is vital to the plot, or NPCs who would be unable to appreciate the character's work such as non-sentient creatures, labor droids, and Imperial Stormtroopers.",https://star-wars-rpg-ffg.fandom.com/wiki/Biggest_Fan_talent,True,False,Biggest Fan-A,False,False
Bind,Force Ability,Force Ability,This force power allows an attuned individual to capture a person with the power of the force... and even then crush them.,https://star-wars-rpg-ffg.fandom.com/wiki/Bind,True,True,Bind-A,False,True
Black Market Contacts,Active (Incidental),Yes,"When looking to purchase illegal, exotic, or black market goods, the character may decrease an item's rarity by one level per rank in Black Market Contacts. For each level an item's rarity is decreased, its cost increases by 50% of its base cost.",https://star-wars-rpg-ffg.fandom.com/wiki/Black_Market_Contacts_talent,True,False,Black Market Contacts-A,True,False
Blackmail,"Active (Incidental, Out of Turn)",No,"When an NPC exceeds their strain threshold by any means other than a combat check, the character may spend 1 Destiny Point to compel the NPC to immediately perform one simple task before becoming incapacitated. The character must be able to communicate with the NPC to activate this talent, and the player must explain how they are blackmailing the NPC. In structured gameplay, the task must be something the NPC can accomplish in a single turn. The task can be something the NPC does not wish to do (such as lying to a friend, stealing something, or aiding an enemy), but it cannot be obviously suicidal or otherwise betray the NPC's most core principles. Any task a character attempts to compel this way is ultimately subject to the GM's discretion.",https://star-wars-rpg-ffg.fandom.com/wiki/Blackmail_talent,True,False,Blackmail-A,False,False
Blather,Active (Action),No,"The character may take the Blather action, making a Hard Charm or Deception check. If the check is successful, one adversary per success result within medium range is disoriented for a number of rounds equal to the character's Presence rating. The character may spend a triumph result from the check to stagger one affected target for one round.",https://star-wars-rpg-ffg.fandom.com/wiki/Blather_talent,True,False,Blather-A,False,False
Blind Spot,Passive,No,The character and allies within short range add an automatic advantage result to combat checks they make while benefiting from cover.,https://star-wars-rpg-ffg.fandom.com/wiki/Blind_Spot_talent,True,False,Blind Spot-A,False,False
Blooded,Passive,Yes,"The character adds a boost dice per rank of Blooded to their checks to resist or recover from the effects of poisons, venoms, and other toxins. Reduce the duration of any related ongoing effects or damage from toxins, venoms, or poisons by one round per rank of Blooded, to a minimum of one.",https://star-wars-rpg-ffg.fandom.com/wiki/Blooded_talent,True,False,Blooded-A,True,False
Improved Blooded,Active (Action),No,"The character may take the Improved Blooded action, making a Hard Resilience check. If they succeed, they immediately recover from the effects of all poisons and the side effects or after effects of all drugs. Reduce the difficulty of the check once per rank of Blooded, to a minimum of Simple.",https://star-wars-rpg-ffg.fandom.com/wiki/Blooded_talent,False,False,Blooded-B,False,False
Body Guard,Active (Maneuver),Yes,"Once per round on the character's turn, the character may perform a Body Guard maneuver to protect one ally with whom they are engaged. The character then suffers a number of strain no greater than their ranks in Body Guard. Until the start of the character's next turn, upgrade the difficulty of all combat checks targeting the protected ally a number of times equal to the strain suffered by the character.",https://star-wars-rpg-ffg.fandom.com/wiki/Body_Guard_talent,True,False,Body Guard-A,True,False
Improved Body Guard,"Active (Incidental, Out of Turn)",No,"Once per session, when an ally protected by the character's Body Guard maneuver would suffer a hit from a combat check, the character may choose to suffer that hit instead of the ally.",https://star-wars-rpg-ffg.fandom.com/wiki/Body_Guard_talent,False,False,Body Guard-B,False,False
Supreme Body Guard,Passive,No,"When the character uses the Body Guard maneuver, they may protect a number of engaged characters up to their ranks in Resilience instead of just one.",https://star-wars-rpg-ffg.fandom.com/wiki/Body_Guard_talent,False,False,Body Guard-C,False,False
Bolstered Armor,Passive,Yes,The character increases the armor value of their Signature Vehicle by 1 per rank of Bolstered Armor.,https://star-wars-rpg-ffg.fandom.com/wiki/Bolstered_Armor_talent,True,False,Bolstered Armor-A,True,False
Bought Info,Active (Action),No,"When required to make a Knowledge skill check, the character can instead make a Bought Info action. They spend a number of credits equal to 50 times the difficulty of the check and counts as succeeding on the check with one uncancelled success. At the GM's discretion, the character may not be able to use this ability if the information sought is particularly hard to find, or if the character is in a situation where they could not purchase information (such as marooned on a planet with no access to the HoloNet).",https://star-wars-rpg-ffg.fandom.com/wiki/Bought_Info_talent,True,False,Bought Info-A,False,False
Bound Together,Active (Maneuver),No,"Force talent. The character may perform the Bound Together maneuver. Until the start of the character's next turn, when the character or an ally within short range suffers strain involuntarily, they reduce the amount suffered by the current number of light side Destiny Points in the destiny pool.",https://star-wars-rpg-ffg.fandom.com/wiki/Bound_Together_talent,True,True,Bound Together-A,False,False
Brace,Active (Maneuver),Yes,"As a maneuver, the character may Brace themself. This allows the character to remove setback dice per rank of Brace from their next skill check based on changing conditions, inclement weather, unstable surfaces, zero gravity, heavy gravity, or other physical obstacles that would make a skill check more difficult.",https://star-wars-rpg-ffg.fandom.com/wiki/Brace_talent,True,False,Brace-A,True,False
Improved Brace,Passive,No,"When the character performs the Brace maneuver, they may choose one environmental circumstance. The benefits of Brace apply to that circumstance until the end of the encounter. (This benefit is not cumulative with further uses of the Brace maneuver, although the character may select additional circumstances with subsequent uses.)",https://star-wars-rpg-ffg.fandom.com/wiki/Brace_talent,False,False,Brace-B,False,False
Supreme Brace,Passive,No,"When the character performs the Brace maneuver, the benefits apply to all allies within short range.",https://star-wars-rpg-ffg.fandom.com/wiki/Brace_talent,False,False,Brace-C,False,False
Brachiation,Passive,No,"Suffer no penalties to movement through jungles or similar environments. Add 1 boost dice to Athletics and Coordination checks related to climbing, swinging and balancing. (Iakaru racial)",https://star-wars-rpg-ffg.fandom.com/wiki/Iakaru,True,False,Brachiation-A,False,False
Brilliant Evasion,Active (Action),No,"The character may make the Brilliant Evasion action when piloting a vehicle or starship. The character selects one opponent and makes an opposed Piloting (Planetary or Space) check. If they succeed, the opponent's vehicle or starship cannot make any attacks against the character's vehicle for a number of rounds equal to the character's Agility. Brilliant Evasion can only be performed once per encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/Brilliant_Evasion_talent,True,False,Brilliant Evasion-A,False,False
Bring It Down,Active (Incidental),No,The character may spend 1 Destiny Point to add damage to a single hit equal to their target's Brawn value. This ability may only be activated once per attack.,https://star-wars-rpg-ffg.fandom.com/wiki/Bring_It_Down_talent,True,False,Bring It Down-A,False,False
Burly,Passive,Yes,The character reduces any wielded or carried weapon's Cumbersome quality and Encumbrance rating by a number equal to ranks in Burly to a minimum of 1.,https://star-wars-rpg-ffg.fandom.com/wiki/Burly_talent,True,False,Burly-A,True,False
By The Book,Active (Incidental),Yes,"Once per encounter, before making a combat check, the character may suffer two strain to add an automatic advantage to the results equal to their ranks in By the Book.",https://star-wars-rpg-ffg.fandom.com/wiki/By_The_Book_talent,True,False,By The Book-A,True,False
Bypass Security,Passive,Yes,The character removes a setback dice per rank of Bypass Security from their Skulduggery and Computers skill checks made to disable a security device or open a locked door.,https://star-wars-rpg-ffg.fandom.com/wiki/Bypass_Security_talent,True,False,Bypass Security-A,True,False
Call 'Em,Passive,No,This character does not add any setback dice to their combat checks due to the use of the Aim maneuver.,https://star-wars-rpg-ffg.fandom.com/wiki/Call_%27Em_talent,True,False,Call 'Em-A,False,False
Calm Commander,Passive,No,"When upgrading the ability of a Mass Combat check in a mass combat in which the character is the commander of the acting force (or when upgrading the difficulty pool, if the character is the commander of the enemy force), the character may use ranks in Cool instead of Leadership.",https://star-wars-rpg-ffg.fandom.com/wiki/Calm_Commander_talent,True,False,Calm Commander-A,False,False
Calming Aura,Passive,No,"Force talent. When an opponent targets the character with a Force power, after the opponent generates Force points, reduce the total Force points generated by one, to a minimum of 0.",https://star-wars-rpg-ffg.fandom.com/wiki/Calming_Aura_talent,True,True,Calming Aura-A,False,False
Improved Calming Aura,Active (Maneuver),No,Force talent. The character may spend a maneuver and suffer 2 strain to extend the effects of Calming Aura to a number of allies within short range equal to their Willpower. This lasts until the beginning of their next turn.,https://star-wars-rpg-ffg.fandom.com/wiki/Calming_Aura_talent,False,True,Calming Aura-B,False,False
Careful Planning,Active (Action),No,"Once per game session, the character can choose to introduce a ""fact"" or additional context directly into the narrative as if they had spent a Destiny Point.",https://star-wars-rpg-ffg.fandom.com/wiki/Careful_Planning_talent,True,False,Careful Planning-A,False,False
Center Of Being,Active (Maneuver),Yes,"Force talent. Once per round, when wielding a lightsaber, the character may perform a Center of Being maneuver. Until the beginning of the character's next turn, whenever an enemy makes a melee attack targeting the character, the critical rating of the enemy's weapon counts as 1 higher per rank of Center of Being.",https://star-wars-rpg-ffg.fandom.com/wiki/Center_Of_Being_talent,True,True,Center Of Being-A,True,False
Improved Center of Being,Passive,No,Force talent. The character may voluntarily suffer 1 strain to perform Center of Being as an incidental instead of a maneuver.,https://star-wars-rpg-ffg.fandom.com/wiki/Center_Of_Being_talent,False,True,Center of Being-B,False,False
Supreme Center of Being,Passive,No,"Force talent. When the character performs the Center of Being maneuver, until the beginning of their next turn, ranged weapons also treat their critical rating as one higher per rank of Center of Being when attacking the character.",https://star-wars-rpg-ffg.fandom.com/wiki/Center_Of_Being_talent,False,True,Center of Being-C,False,False
Channel Agony,Active (Incidental),Yes,"Force talent. After rolling a Force dice, the character may choose to suffer wounds no greater than twice their ranks in Channel Agony. For every two wounds, they add a dark Force point to the results. A character who has purchased this talent automatically gains 1 Conflict per rank purchased at the beginning of a game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Channel_Agony_talent,True,True,Channel Agony-A,True,False
Circle Of Shelter,Passive,No,"Force talent. When an ally engaged with the character suffers a hit from a combat check, the character may use a Parry or Reflect incidental to reduce the damage the hit deals (even though the character is not the target of the combat check).",https://star-wars-rpg-ffg.fandom.com/wiki/Circle_Of_Shelter_talent,True,True,Circle Of Shelter-A,False,False
Clanker Killer,Active (Incidental),Yes,"Before rolling a combat check that targets a droid (including a droid vehicle or a vehicle piloted by a droid), the character may remove boost dice up to their ranks in Clanker Killer from the pool, and add an equal number of success or advantage results (in any combination) to the results.",https://star-wars-rpg-ffg.fandom.com/wiki/Clanker_Killer_talent,True,False,Clanker Killer-A,True,False
Improved Clanker Killer,Passive,No,"When making a Brawl or Melee combat check targeting a droid, the character treats their attack's critical rating as being 1 lower per rank of Clanker Killer (to a minimum of 1).",https://star-wars-rpg-ffg.fandom.com/wiki/Clanker_Killer_talent,False,False,Clanker Killer-B,False,False
Clever Commander,Passive,No,"When upgrading the ability of a Mass Combat check in a mass combat in which the character is the commander of the acting force (or when upgrading the difficulty if the character is the commander of the enemy force), the character may use ranks of Knowledge (Warfare) instead of ranks in Leadership.",https://star-wars-rpg-ffg.fandom.com/wiki/Clever_Commander_talent,True,False,Clever Commander-A,False,False
Clever Solution,Active (Incidental),No,"Once per game session, the character can choose to make one skill check using Cunning, rather than the characteristic linked to that skill. When they do this, they must explain how, in this particular instance, their cunning is helping them overcome this challenge.",https://star-wars-rpg-ffg.fandom.com/wiki/Clever_Solution_talent,True,False,Clever Solution-A,False,False
Codebreaker,Passive,Yes,"The character removes a setback dice per rank of Codebreaker from their attempts to break codes or decrypt communications. In addition, the character decreases the difficulty of their Computers or Intellect checks made to break codes or decrypt communications by one (this does not increase with additional ranks of Codebreaker).",https://star-wars-rpg-ffg.fandom.com/wiki/Codebreaker_talent,True,False,Codebreaker-A,True,False
Combat Programming,Active (Action),No,"Once per encounter when working on a droid, the character may make a Hard Computers check. If successful, for the remainder of the encounter the droid gains two different combat skills at rank 1, or 1 additional rank in two different existing combat skills (to a maximum of 5), as chosen by the character. If the character is a droid, it may perform this action on itself.",https://star-wars-rpg-ffg.fandom.com/wiki/Combat_Programming_talent,True,False,Combat Programming-A,False,False
Combat Veteran,Passive,Yes,The character adds a boost dice to their Brawl and Discipline checks equal to their ranks in Combat Veteran.,https://star-wars-rpg-ffg.fandom.com/wiki/Combat_Veteran_talent,True,False,Combat Veteran-A,True,False
Command,Passive,Yes,"The character gains a boost dice per rank of Command when making Leadership checks (or other checks to inspire, lead, or rally an audience). Inspired targets also add a boost dice per rank to any subsequent Discipline checks they make over the next twenty-four hours (this does not increase with additional ranks of Command).",https://star-wars-rpg-ffg.fandom.com/wiki/Command_talent,True,False,Command-A,True,False
Commanding Presence,Passive,Yes,The character removes a setback dice per rank of Commanding Presence from their Leadership and Cool checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Commanding_Presence_talent,True,False,Commanding Presence-A,True,False
Improved Commanding Presence,Active (Action),No,"Once per session, the character can take the Commanding Presence action to choose a target minion, minion group, or rival and make a Cool check opposed by the target's Discipline. If the check is successful, the target adversary or group removes itself from the encounter for the duration of the encounter. The target will not attack or otherwise engaged the PCs, nor perform any hostile or overt action. However, it will defend itself if attacked. Attacking the target ends the effect. The Commanding Presence action can be used in narrative encounters. The specific details of its effect are at the GM's discretion, but could include commanding a guard to let the PCs pass or causing political opponents to remove themselves from a debate.",https://star-wars-rpg-ffg.fandom.com/wiki/Commanding_Presence_talent,False,False,Commanding Presence-B,False,False
Comprehend Technology,Active (Action),No,"Force talent. Once per session, the character may take the Comprehend Technology action, making an Average Knowledge (Education) check to intuitively understand one weapon, armor set, or other piece of personal gear. Success means that for the remainder of the encounter, when the character makes any skill checks to use or repair the item, they may count their ranks in the applicable skill as equal to their Force rating. For example, a character may use Comprehend Technology to count their ranks in Mechanics as equal to their Force rating when repairing a broken lightsaber, or they can count their ranks in Ranged (Light) as equal to their Force rating when firing a blaster pistol.",https://star-wars-rpg-ffg.fandom.com/wiki/Comprehend_Technology_talent,True,True,Comprehend Technology-A,False,False
Comrades In Arms,Active (Action),No,"Once per encounter, the character may take the Comrades in Arms action to make a Hard Discipline check. If successful, the character plus one ally per success within medium range gains +1 defense for the remainder of the encounter. Should an ally move outside of medium range, that ally loses this benefit.",https://star-wars-rpg-ffg.fandom.com/wiki/Comrades_in_Arms_talent,True,False,Comrades In Arms-A,False,False
Improved Comrades in Arms,Passive,No,"Whenever the character takes the Comrades in Arms action, they may spend three advantage results or a triumph result to also gain +1 soak or to give one affected ally +1 soak.",https://star-wars-rpg-ffg.fandom.com/wiki/Comrades_in_Arms_talent,False,False,Comrades in Arms-B,False,False
Conditioned,Passive,Yes,The character removes a setback dice per rank of Conditioned from their Athletics and Coordination checks. They reduce the damage and strain suffered from falling by 1 per rank of Conditioned.,https://star-wars-rpg-ffg.fandom.com/wiki/Conditioned_talent,True,False,Conditioned-A,True,False
Confidence,Passive,Yes,"The character may decrease the difficulty of any Discipline check to avoid the effects of fear by one per rank of Confidence. If they decrease the difficulty to zero, they do not have to make a Discipline check.",https://star-wars-rpg-ffg.fandom.com/wiki/Confidence_talent,True,False,Confidence-A,True,False
