,Equipment,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description,Type,Defense,Soak
29,Droid Disruptor,Ranged (Light),6,3,Short,2,1,800,7,No,Vicious 3 (droids only),"Produced by Verpine weaponsmiths, this specialised weapon fires a stream of ion energy to burn out droid circuitry. They are seen by droids as organics view disruptor weapons. Organics hit by the weapon suffer no damage from the weapon, but suffer 2 strain.",weapon,,
30,ST-M40 Heavy Repeating Pistol,Ranged (Light),6,3,Short,2,2,2100,5,No,"Auto-fire, Inaccurate 1","Loosely based on the DD6, this heavy blaster pistol was designed with an auto-fire setting - but due to the short barrel, it is relatively inaccurate. The weapon may run out of ammunition due to 2 disadvantage results.",weapon,,
31,PB08 Heavy Blaster Pistol,Ranged (Light),6,3,Medium,2,2,800,6,No,Stun Setting,This popular Merr-Sonn pistol is simple and reliable. It uses an exemplary heat managing and energy conservation system to keep it from running out of ammunition in the middle of combat - unlike other heavy blaster pistols. Weapon cannot run out of ammo due to a despair result.,weapon,,
32,ACP Array Gun,Ranged (Heavy),6,3,Short,3,3,890,6,No,"Blast 5, Stun Setting",This weapon is favoured among pirates due to its ability to clear hallways and corridors of spaceships with a blast that is unlikely to damage the starship structure.,weapon,,
33,Blaster Pistol,Ranged (Light),6,3,Medium,1,3,400,4,No,Stun Setting,"This is a common weapon found in the galaxy, light yet all that is necessary for self-defense in most cases.",weapon,,
34,"Model 53 ""Quicktrigger"" Pistol",Ranged (Light),6,3,Medium,1,4,450,4,No,Stun Setting,This is a reliable and easy to maintain pistol which is popular on the fringe as repair materials are hard to come by. It is also easily modified to specifications of the user. Reduce the difficulty of Mechanics checks to repair or modify attachments on it by 1.,weapon,,
35,Model 44 Pistol,Ranged (Light),6,3,Medium,1,4,500,4,No,Stun Setting,"This is an iconic blaster pistol, considered reliable and more than adequate for most situations. It is often used by those on starship due to its low power.",weapon,,
36,SE-14r Light Repeater,Ranged (Light),6,3,Medium,2,3,1000,6,Yes,"Auto-fire, Stun Setting","Known as the Imperial Repeating Pistol, this weapon is often carried by some imperial officers and pilots. It has a high fire rate and is military weaponry, meaning it will fetch a high price on the black market. May run out of ammo due to 3 disadvantage results.",weapon,,
37,Model 80 Pistol,Ranged (Light),6,2,Medium,2,3,550,5,No,Stun Setting,"The Model 80 is a pistol with decently powerful energy bolts that can hurt their opponents. It's a little bulky however, and not apt as a secondary weapon. Time taken to draw, holster, stow or otherwise access this weapon cannot be reduced.",weapon,,
38,WESTAR-35 Blaster Pistol,Ranged (Light),6,2,Medium,1,3,1200,8,No,"Accurate 1, Stun Setting","This high-quality and sleek blaster is the standard-issue side-arm of the Mandalorian law enforcement and military officers. The weapon, just like the GALAAR was never produced for export but manages to find its way onto the black market due to its desirability. ",weapon,,
39,DE-10 Blaster Pistol,Ranged (Light),6,2,Long,1,2,1400,6,No,"Accurate 1, Stun Setting","Produced by Antrech Arms, a BlasTech subsidiary which produced niche blasters, the DE-10 was easy to maintain, classy, and made of the best materials for endurance. It came standard with a telescopic optical sight. Reduce difficulty of combat checks at long and extreme range by 1.

Do not add 1 setback dice due to minor repairs needed.

Add 1 boost dice to checks for repairing the blaster.",weapon,,
40,IDX-9 Ion Stunner,Ranged (Light),7,-,Medium,1,2,300,4,No,"Ion, Stun Damage",The Tenloss IDX-9 can be used to disrupt non-droid's neural pathways just as well as it can disable the electronic components of droids. This weapon can also be used to accurately target technological security measures. This rifle may be holstered as if it were a side-arm due to its collapsible nature.,weapon,,
41,"Mk. V ""Sand Panther"" Rifle",Ranged (Heavy),7,5,Long,5,2,1750,7,No,"Accurate 1, Cumbersome 2",This cumbersome weapon is actually coveted by big game hunters wealthy enough to justify the expense for such a rifle. It is crafted with great precision by Coronet Arms.,weapon,,
42,Variable Holdout Blaster,Ranged (Light),01-Jul,4,Short,1,0,400,7,No,Limited Ammo 12,"The Variable Holdout blaster is of sleek design, easy to conceal as other holdouts. However, the weapon has a unique ability to adjust the blaster's power, allowing one to use only what they need. When weapon is fired, may choose power setting from 1 to 7. This corresponds to the amount of ammo spent.

Add 1 setback die to Perception checks for finding the concealed blaster.",weapon,,
43,CR-2 Heavy Pistol,Ranged (Light),7,4,Medium,2,2,600,5,No,Stun Setting,"This relatively outdated weapon is no longer in production, but seen all over the galaxy, used by police security officers. It is often equipped with a fore-grip for easier use.",weapon,,
44,HH-50 Heavy Pistol,Ranged (Light),7,3,Short,3,2,1300,7,No,"Linked 1, Stun Setting, Vicious 1",This rather large blaster pistol is built from a variety of parts used in the DC-15 clone trooper blaster carbine. It is double-barreled and includes a set of patented systems. Rolling 2 disadvantages may cause the weapon to run out of ammunition. Rolling 3 disadvantages may cause the weapon to overheat.,weapon,,
45,S-5 Heavy Pistol,Ranged (Light),7,3,Medium,3,1,1250,7,No,Stun Setting,"This is the preferred weapon of the Royal Naboo Security Forces, featured during the Battle of Naboo - showing off their grapple capabilities. Using the grappling hook requires an average (2 difficulty) Ranged (light) check to hook onto something at medium range. May reel in the cord as an action.",weapon,,
46,ACP Repeater Gun,Ranged (Heavy),7,3,Medium,3,1,1000,6,No,"Auto-fire, Stun Setting","This carbine was produced for close quarters combat, capable of auto-fire in a small package. Due to its popularity with Trandoshans and Gank, it got a couple nickcnames like ""Trandoshan Chopper"".",weapon,,
47,DC-12u Beam Rifle,Ranged (Heavy),7,3,Medium,3,3,1600,7,Yes,Linked 1,"This weapon by BlasTech was designed for specific underwater operations, developed for the Grand Army of the Republic. Each shot fires two low-powered blaster bolts that are optimized for travel through water. Remove 1 setback dice due to darkness when under-barrel mounted flashlight is on.

Outside of aquatic environment, DC-12U has Inaccurate 2.",weapon,,
48,"Model-1 ""Nova Viper",Ranged (Light),7,3,Medium,2,2,4500,9,No,"Accurate 2, Pierce 2, Stun Setting","Produced by a company founded by the famous weapon designer Joran Raider, having left BlasTech, this pistol is considered the pinnacle of his craft. It is perfectly balanced, innovative and tooled down to the smallest detail. However, as these weapons are made to stringent specifications, they are difficult to maintain. Increase difficulty of Mechanics checks to repair a Nova Viper or modify attachments on it by 1.",weapon,,
49,Heavy Blaster Pistol,Ranged (Light),7,3,Medium,2,3,700,6,No,Stun Setting,"These are the larger side-arms, almost packing the punch of a carbine or rifle. They tend to be unwieldy and used by security or criminals. It is possible for this weapon to suddenly run out of ammunition (if 3 disadvantages are rolled as a result of a combat check).",weapon,,
50,DC-17 Pistol,Ranged (Light),7,3,Medium,2,3,1000,6,Yes,"Accurate 1, Stun Setting","The BlasTech DC-17 is considered one of the best pistols produced by the company, with the power of a heavy blaster pistol in the package the size of a light blaster. Lightweight and balanced, ARC troopers and officers occasionally prefer to fire with dual-wielded pistols than the standard issue rifles. May run out of ammo with 3 threat or a despair result.",weapon,,
51,GLX Firelance,Ranged (Heavy),7,3,Long,3,3,1600,6,No,"Auto-fire, Disorient 2, Stun Setting",This SoroSuub rifle was popular in the last years before the end of the Republic. It was a rifle with the size of a carbine.,weapon,,
52,DDC-MR6 Modular Rifle,Ranged (Heavy),7,3,Medium,3,6,1000,6,No,Stun Setting,"Designed by the CIS during the clone wars, the MR6 uses an electromagnetic rail system which allows one to slip attachments on and off with relative ease. However, at the time it was too expensive for distribution, now becoming rare to find. May add or remove an attachment making an Average (2 difficulty) Mechanics check as an action (rather than normal time).",weapon,,
53,"H-7 ""Equalizer"" Pistol",Ranged (Light),7,2,Medium,2,3,1200,8,No,"Stun Setting, Superior","This pistol is carried by those in higher-level positions as a symbol of status. The pistol is one of the finest products from Coronet Arms, with unparalleled quality.",weapon,,
54,KO-2 Heavy Stun Pistol,Ranged (Light),8,-,Short,2,3,650,5,No,Stun Damage,The Palandrix heavy weapon is commonly known as the 'coma pistol' due to its overwhelming stun damage in comparison to other light stunning weapons.,weapon,,
55,AJ-23 Concussive Rifle,Ranged (Heavy),8,5,Short,4,2,8000,4,No,"Blast 7, Concussive 2, Inaccurate 2, Knockdown, Stun Damage","The Merr-Sonn AJ-23 is an exceptional weapon for crowd control, commonly held by a multitude of security and law enforcement forces. However, due to this - it isn't so good for taking on single targets.",weapon,,
56,AB-75 Bo-Rifle,Ranged (Heavy),8,4,Medium,4,4,900,7,Yes,Stun Setting,"The Bo-Rifle was once a ceremonial weapon of the Honor Guard of Lasan. Used by the best warriors among the Lasat, these weapons were designed as a melee and ranged weapon. As a maneuver the user may convert the bo-rifle to melee mode",weapon,,
57,D-29 Repulsor Rifle,Gunnery,8,4,Medium,3,3,1550,7,No,"Disorient 3, Knockdown, Stun Damage",This non-lethal weapon fires an invisible electro-magnetic ray of energy which blasts people back without directly causing any lasting injury.,weapon,,
58,Imperial Heavy Repeater,Ranged (Heavy),8,4,Medium,3,2,1500,7,Yes,"Auto-fire, Cumbersome 4","This is a crowd-control weapon used by the Empire. It fires ionized bursts of metallic bolts at an extreme rate. One can turn off the safeguards and fire all the ammunition simultaneously. As a maneuver, one can prime the weapon to add the Blast 7 and Concussive 1 qualities (removing the auto-fire quality). The weapon then runs out of ammunition.",weapon,,
59,SKZ Sporting Blaster,Ranged (Heavy),8,4,Long,3,4,600,4,No,Stun Setting,"This is a popular weapon marketed to civilians for hunting and self-defense purposes. It carries a compact and simple design, with plenty of space for modifications.",weapon,,
60,BR-219 Heavy Pistol,Ranged (Light),8,3,Short,2,2,625,7,Yes,"Stun Setting, Vicious 2","This is a custom order weapon designed by BlasTech, being a E-11 which has been reworked to pack almost the same power into a pistol-sized weapon. Rolling 2 disadvantages may cause the weapon to receive damage. A critical fail may cause the weapon to melt down and explode (dealing base damage to user).",weapon,,
61,A280-CFE Pistol/Carbine,Ranged (Light),8,3,Medium,3,1,1700,7,Yes,Stun Setting,"Designed in the time of the Republic and based off the A280, this BlasTech weapon is sold as a heavy blaster pistol. However, it comes with a couple accessories that allows the weapon to become a serviceable sniper rifle. A maneuver may change the CFE from pistol to rifle mode (or vice-versa). While it is in rifle mode, range becomes Long, gains Accurate 1 and Pierce 1, but must be fired with Ranged (Heavy) skill.",weapon,,
62,DL-7H Heavy Pistol,Ranged (Light),8,3,Medium,2,2,850,6,Yes,-,"This heavy pistol can do a decent amount of damage, in a package similar to a basic pistol, but the cost for this damage is that it often drains through its power cell quickly. May run out of ammo with 2 disadvantage results.",weapon,,
63,E-22 Rifle,Ranged (Heavy),8,3,Medium,4,2,1500,8,Yes,"Cumbersome 2, Linked 1, Stun Setting","An imperial weapon that is rarely seen in use, this rifle was designed for use by amphibious shoretroopers. It is sealed and designed for extended use in hostile environments - such as beneath the sea. Cannot be damaged by environmental hazards, water, sand, salt, etc.",weapon,,
64,"C-10 ""Dragoneye Reaper"" Heavy Pistol",Ranged (Light),8,3,Medium,3,3,1000,7,No,Stun Setting,"This is a popular pistol used by both bounty hunters and smugglers who value firepower over subtlety. Relatively oversized, it is based off the custom made design of the infamous bounty hunter Dragoneye.",weapon,,
65,EE-3 Carbine,Ranged (Heavy),8,3,Medium,3,3,1500,6,No,"Auto-fire, Stun Setting",This was one of BlasTech's most popular non-military weapons. It was designed for private security and law enforcement. Its light frame and versatility made it particularly favoured by bounty hunters. ,weapon,,
66,"""Renegade"" Heavy Pistol",Ranged (Light),8,3,Medium,2,3,950,4,No,"Inaccurate 1, Stun Setting","This large and intimidating weapon is nevertheless not cumbersome or unwieldy, but it is inaccurate, as the heavy blaster damage causes a significant amount of recoil.",weapon,,
67,DH-17 Carbine,Ranged (Heavy),8,3,Medium,2,3,900,6,No,"Auto-fire, Inaccurate 1, Stun Setting","Based off the DH-17 blaster pistol used by the alliance, this weapon is favoured due to its power to penetrate body armour while not damaging internal structures of ships and vehicles.",weapon,,
68,VES-700 Pulse Rifle,Ranged (Heavy),8,3,Medium,4,3,950,6,No,"Blast 6, Stun Setting","Firing a rapid series of micro-bursts in a wide blast pattern, this rifle is often used in close quarters such as starship corridors and is often seen in the hands of urban riot police.",weapon,,
69,"DR-45 ""Dragoon""",Ranged (Light),8,3,Medium,1,3,1900,6,No,"Accurate 1, Stun Setting","Based off the DD-6 Blaster Pistol by Merr-Sonn, this blaster carbine/pistol comes with a detachable stock and spin barrel. The pistol may be converted to a carbine with a maneuver, allowing it to be used with the Ranged (Heavy) skill; and back with another maneuver.",weapon,,
70,SSG Mk II Paladin,Ranged (Heavy),8,3,Long,4,2,3250,8,No,"Auto-fire, Pierce 1, Stun Setting, Superior","This SoroSuub built rifle was custom ordered by the republic to equip the senate guards. It is made for ceremonial display but also for real use. The superior quality damage is already included.

It has an integrated stun prod",weapon,,
71,Mon Cal Spear Blaster,Ranged (Heavy),8,3,Long,5,3,1350,5,No,Stun Setting,"Wielded by the Mon Calamari during the Battle of Mon Cala, the spear blaster is built for function in and out of water. This weapon may be used as a blaster (profile above) or a spear",weapon,,
72,Weequay Blaster Lance,Ranged (Heavy),8,3,Extreme,5,2,850,6,No,"Accurate 1, Cumbersome 2","This sniper rifle was developed by the Weequay, great for hunting the desolate wastes, but not as powerful as other rifles on the market.",weapon,,
73,Nightsister Energy Bow,Ranged (Heavy),8,2,Medium,4,2,2800,8,Yes,"Pierce 4, Unwieldy 3, Vicious 2","From the Nightsisters of Dathomir, this energy bow is one of their standard weapons. ",weapon,,
74,M-300 Hunting Blaster,Ranged (Heavy),8,3,Extreme,4,1,1600,8,No,"Accurate 1, Cumbersome 2, Pierce 2, Stun Damage","This BlasTech stun rifle is favoured by hunters, as it stabilizes the bolts for extreme long range, non-lethal weapon fire. Reduce difficulty of combat checks at Extreme & Long range by 1.",weapon,,
75,A280-C Rifle,Ranged (Heavy),9,4,Long,5,2,1800,7,No,"Accurate 1, Cumbersome 3, Stun Setting","Commonly found in the hands of soldiers for the rebel alliance, this rifle was once used to train members of military organisations in the time before the Clone Wars. It suffers from a lack of modularity, but is reliable. Reduce difficulty of mechanics check to repair the rifle by 1.",weapon,,
76,Kyuzo Energy Bow,Ranged (Heavy),9,4,Long,6,1,2400,8,No,"Cumbersome 3, Knockdown, Pierce 5",This energy bow is an especially large model which fires more powerful bolts. It is favoured among those who learn to master it due to its long distance and armour-piercing qualities.,weapon,,
77,LD-1 Target Rifle,Ranged (Heavy),9,4,Extreme,6,3,1275,7,No,"Accurate 2, Cumbersome 3, Pierce 3, Slow-Firing 1","Built by Merr-Sonn, this sniper rifle is made to be elegant and easily disassembled, to fit in a carrying case.",weapon,,
78,E-11D Carbine,Ranged (Heavy),9,3,Medium,3,2,1400,9,Yes,Stun Setting,"The standard-issue long-arm for death troopers, it is designed for use in close-quarters and urban combat. The carbine-sized weapon is capable of greater damage than what one often sees in these packages. Upgrade the ability of combat checks made when using this weapon at short range once.",weapon,,
79,OK-98 Carbine,Ranged (Heavy),9,3,Medium,4,3,1100,5,No,Stun Setting,"This unique carbine by SoroSuub features slots for two power packs. An onboard computer is programmed to switch to the secondary power source when the primary runs out. However, a couple quick tinkers allow the weapon to draw from both the cells at once for increased firepower. Ignore first ""out of ammo"" despair result during combat, without expending a maneuver.

The weapon can be modified using an Easy (1 difficulty) Mechanics check to increase damage by 2 and replace the option to 'ignore the first ""out of ammo"" result' with 'a despair causes the weapon to catastrophically explode and deal base damage on the user'.",weapon,,
80,Blaster Carbine,Ranged (Heavy),9,3,Medium,3,4,850,5,No,Stun Setting,"This blaster can be used one-handed at short range just as a pistol, but packing the punch of a rifle. They are shorter and generally less accurate or ranged than a rifle.",weapon,,
81,E5 Carbine,Ranged (Heavy),9,3,Medium,3,4,550,3,No,"Inaccurate 1, Stun Setting","This is was the primary weapon distributed to Baktoid B1 Battle Droids during the Clone Wars. It is light and small, while preserving its stopping power - though this makes it prone to overheating and rather inaccurate. Rolling 3 disadvantage results may cause the E5 to overheat, damaging it by 1 step.",weapon,,
82,DC-15a Carbine,Ranged (Heavy),9,3,Medium,3,4,1500,5,Yes,"Auto-fire, Pierce 1, Stun Setting","This carbine is the standard issue weapon for clone troopers on the field unless conditions require otherwise, It is a shorter-ranged design than its predecessor, lacking a little bit of the power.",weapon,,
83,E-5 Rifle,Ranged (Heavy),9,3,Long,2,2,600,4,No,Stun Setting,"The E-5 rifle was a copy of a BlasTech weapon, produced by Baktoid Armor Workshop as a standard issue rifle to B1 battle droids. It lacked the usual safety features as they weren't as important given the mindless droids using them. When damaged, suffers one additional step of damage.

A despair or 3 threat results cause weapon to overheat; damaging the weapon and dealing 2 wounds to an organic wielder.",weapon,,
84,Blaster Rifle,Ranged (Heavy),9,3,Long,4,4,900,5,No,Stun Setting,"Blaster rifles are more regulated than pistols, especially military grade ones. They pack a heavy punch, along with having a long range.",weapon,,
85,"MWC-35c ""Staccato Lightning"" Repeater",Gunnery,9,3,Long,5,2,3000,7,No,"Auto-fire, Cumbersome 3, Pierce 2, Vicious 1","This heavy repeater is considered one of the galaxy's best infantry support weapons. It is designed for unparalleled automatic fire, although capable of precise and more damaging single shots. Compared to other heavy repeaters which are used as emplaced weapons, this can be carried by a single person with a power pack on their back. May be fired in single-shot mode. If weapon is ever destroyed (by Sunder quality or other means), it explodes, dealing 10 damage to wearer and others within engaged range.",weapon,,
86,"""Precision X"" Rifle",Ranged (Heavy),9,3,Long,5,1,1500,8,No,Pierce 1 Stun Setting,"While no more powerful than usual carbines and rifles, this blaster is capable of maintaining the bolt's punch at a long range thanks to a set of cycling chambers in the weapon. Stun Setting reduces range to Medium.",weapon,,
87,Pulse Cannon,Ranged (Heavy),9,3,Extreme,5,1,2750,6,Yes,"Cumbersome 3, Pierce 2, Slow-Firing 1","The pulse cannon is an E-11 modified for long-distance and high-powered fire. Furthermore, it has a setting allowing one to expend the full charge of the weapon to fire an extremely powerful bolt. As a maneuver, may prime the weapon to add Breach 1 and Vicious 3 to next attack. The weapon then 'runs out of ammo' and cannot be used until end of the encounter.",weapon,,
88,CR-8 Takedown Rifle,Ranged (Heavy),9,3,Extreme,4,1,3250,7,Yes,"Accurate 2, Prepare 2, Pierce 2, Slow-Firing 1","This high-performance hunting blaster rifle built by Corellian Arms, able to be broken down for ease of transport and concealment. When broken down, add 2 setback dice to finding concealed weapon.",weapon,,
89,Dueling Pistol,Ranged (Light),9,2,Short,2,2,750,5,No,"Accurate 1, Limited Ammo 1, Pierce 1","Used traditionally in honour settlements, to trump the law, this pistol is excellently produced. It is designed to let out all its power in a single shot, after the which it must be recharged and loaded.",weapon,,
90,GALAAR-15 Carbine,Ranged (Heavy),9,2,Long,4,4,1100,7,No,"Accurate 1, Stun Setting","This blaster was designed by Mandalorian arms manufacturer Concordian Crescent Technologies for the Mandalorian police and military forces. Its name comes from a common bird of prey native to Mandalore. Despite never been sold on the galactic market, a surprising number of these can be found on the Black Market. ",weapon,,
91,LBR-9 Stun Rifle,Ranged (Heavy),10,-,Long,6,4,2800,4,No,"Disorient 2, Stun Damage","These long range rifles are quite rare, due to being considered of little utility. Being a non-lethal weapon, it is favoured by pacifists and hunters who want to catch, rather than kill, their game.",weapon,,
92,"""Subduer-9"" Riot Blaster",Ranged (Heavy),10,6,Short,6,3,1250,5,No,"Blast 6, Cumbersome 3, Stun Damage","This bulky blaster is as cumbersome to use as some of the most powerful lethal weapons on the market, however it lacks the stopping power - in the traditional sense. The non-lethal ""Subduer-9"" is capable of maintaining a cohesive stunning blast over an open area. Often used by peace-keepers and many law enforcement agencies, certain bounty hunters enjoy its power to subdue a target.",weapon,,
93,Ion Blaster,Ranged (Light),10,5,Short,3,3,250,3,No,"Disorient 5, Ion","These cheap blasters are used all over the galaxy as a non-lethal measure to control droids, by firing an electronic signal blast into the droid's systems",weapon,,
94,HBt-4 Hunting Blaster,Ranged (Heavy),10,3,Medium,5,2,900,6,No,"Cumbersome 2, Stun Setting","This blaster is heavier than other sporting rifles, packing quite the punch for a civilian blaster. It is designed for hunting big game, and loses a bit of range to fire the stronger bolt.",weapon,,
95,Bowcaster,Ranged (Heavy),10,3,Medium,5,2,1250,7,No,"Cumbersome 3, Knockdown","Each being hand-crafted by the wookiees of the Kashyyyk system, these weapons fire metallic explosive bolts using technology similar to that of a rail gun. The weapon must be cocked using a maneuver before each shot.",weapon,,
