Talent,Base,t1.1,t1.2,t1.3,t1.4,t2.1,t2.2,t2.3,t2.4,t3.1,t3.2,t3.3,t3.4,t4.1,t4.2,t4.3,t4.4,t1.1-desc,t1.2-desc,t1.3-desc,t1.4-desc,t2.1-desc,t2.2-desc,t2.3-desc,t2.4-desc,t3.1-desc,t3.2-desc,t3.3-desc,t3.4-desc,t4.1-desc,t4.2-desc,t4.3-desc,t4.4-desc,link,imp
Heal/Harm,The Force user bolsters his ally with renewed vigor or saps his foe of vital energy. Heal (light side Force user only): Spend 1 force die to heal a number of wounds equal to intellect from an engaged living creature (including user). Harm: Spend 1 force die to inflict a number of wounds equal to Intellect (ignoring soak) on an engaged living target. The user gains 1 Conflict.,Range,Magnitude,Magnitude,Control,Range,Magnitude,Strength,Control,Control,Control,Mastery,Strength,,,,,Spend one force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend two force die to affect 1 additional target within range per rank of Magnitude purchased.,Spend two force die to affect 1 additional target within range per rank of Magnitude purchased.,"Heal: If no dark pips generated force die, target heals strain equal to wounds healed. Harm: If any dark pips generated force die, user heals strain equal to wounds inflicted.",Spend one force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend two force die to affect 1 additional target within range per rank of Magnitude purchased.,Heal: Spend one force die to increase wounds healed by 1 per rank of Strength upgrades purchased. Harm: Spend one force die to increase wounds inflicted by 1 per rank of Strength upgrades purchased.,Heal: Spend one force die to remove one status effect from target. Harm: The user may spend one force die to heal wounds equal to wounds inflicted on target. Healed character gains 1 conflict.,Heal: Heal additional wounds equal to ranks in Medicine. Harm: Inflict additional wounds equal to ranks in Medicine.,"Heal: May make a Heal power check combined with a Hard Medicine check. If check succeeds, one target who heals wounds also heals one Critical Injury. Harm: May make a Harm power check combined with an opposed Medicine vs. Resilience check. If check succeeds, one target who suffers wounds also suffers one Critical Injury (adding +10 to the roll per 2 advantages).","Heal: Once per session, spend 3 force die to restore 1 target who died after end of user's last turn to life. Harm: Once per session, when this power kills a target, may restore one engaged character who died this encounter to life. Each character gains 7 Conflict.",Heal: Spend one force die to increase wounds healed by 1 per rank of Strength upgrades purchased. Harm: Spend one force die to increase wounds inflicted by 1 per rank of Strength upgrades purchased.,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Heal/Harm,TRUE
Imbue,This force power allows one to increase the power or resilience of an ally for a limited amount of time - such as reducing critical damage or increasing innate characteristics.,Strength,Control,Range,,Range,Range,,,Strength,Mastery,Duration,,Range,Strength,Duration,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Imbue,FALSE
Incite,"The Force user invests their emotions into their surroundings, creating an aura of peace or terror. The user may spend force die to add 1 automatic failure to combat checks made by a target within short range until the end of his next turn. If the user used any dark side pips to generate any force die, the target suffers 1 strain for every failure added.",Range,Magnitude,Control,Duration,Range,Strength,Magnitude,Duration,Range,Magnitude,Control,Magnitude,Mastery,,,,Spend one force die to increase power's range by a number of range bands equal to range upgrades purchased.,Spend one force die to affect one additional target in range per magnitude upgrade purchased.,"In addition to combat checks, also add automatic failures to social checks made by the target",Spend one force die to increase duration by a number of rounds (or minutes) equal to duration upgrades purchased.,Spend one force die to increase power's range by a number of range bands equal to range upgrades purchased.,Spend 2 force die to add one additional failure to affected checks.,Spend one force die to affect one additional target in range per magnitude upgrade purchased.,Spend one force die to increase duration by a number of rounds (or minutes) equal to duration upgrades purchased.,Spend one force die to increase power's range by a number of range bands equal to range upgrades purchased.,Spend one force die to affect one additional target in range per magnitude upgrade purchased.,"If no dark side pips were used to generate the force die, add one threat to affected checks equal to added failures. If any dark side pips were used, affected targets take strain equal to added failures any time they make a check.",Spend one force die to affect one additional target in range per magnitude upgrade purchased.,"An ally of the Force user may take the Incite power action on his behalf, if they are both willing. The Force user counts as willing even if he does not know about the action, as long as he would be willing if he did know. The Force user rolls force die equal to half his force rating, rounded down, and converts dark and light side pips into force die. The ally spends the force die as they wish. This can be done even while the Force user is incapacitated, or after he has died, as long as none of the targets are aware that he is dead.",,,,https://cdn.discordapp.com/attachments/801970982663225414/1018644024191619072/Incite_Tree.png,TRUE
Influence,"The ability to influence the minds of others is not something to take lightly. Misuse of the ability, colloquially known as a ""mind trick"", is a sure step on the path to the dark side. A powerful Force user can manipulate the minds of others to the point where he can convince them to believe things that are untrue, or calm an angry crowd. Conversely, he can rile the crowd into a murderous frenzy, or frighten a single soul into gibbering madness. This is where the danger of Influence lies. However, Influence is not inherently evil. Many Force users have used Influence to protect the helpless or to deal with a threat in a way that avoids violence. It is much better to convince a guard to return to his post than to have to kill him. Influence's most basic and arguably crudest ability allows the user to inflict strain on a living target, stressing his mind until he passes out. However, upgrades allow the Force user who specializes in Influence to perform much more subtle and impressive feats.",Range,Magnitude,Control,,Control,Strength,,,Range,Magnitude,Duration,Duration,Range,Magnitude,Duration,Duration,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Influence,FALSE
Manipulate,This allows an individual to use the force in order to affect machinery and mechanical components on a molecular level.,Control,Strength,Control,,Control,Range,Control,Control,Control,Range,Strength,,Control,Range,Mastery,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Manipulate,FALSE
Misdirect,"Trickery is an important part of many Force users' arsenals, letting them tip the scales of battle in their favor or even avoid some conflicts entirely. Force users versed in shrouding techniques often walk unseen amidst their foes-a particularly useful ability for any Force-sensitive hiding from the Empire. Especially skilled crafters of illusions can even project visions onto those around them, baffling pursuers or terrifying enemies with horrific phantasms.",Range,Duration,Strength,Control,Magnitude,Magnitude,Strength,Control,Range,Control,Strength,Mastery,Range,Strength,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Misdirect,FALSE
Move,The Force user can move small objects via the power of The Force. The user may spend one force die to move one object of silhouette 0 that is within short range up to his maximum range. The default maximum range is short range.,Magnitude,Strength,Range,Range,Magnitude,Strength,Control,,Magnitude,Strength,Control,Range,Magnitude,Strength,Control,,Spend 1 force die to increase targets affected equal to Magnitude upgrades purchased.,Spend 1 force die to increase silhouette to able to be targeted equal to Strength upgrades purchased.,Spend 1 force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend 1 force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend 1 force die to increase targets affected equal to Magnitude upgrades purchased.,Spend 1 force die to increase silhouette to able to be targeted equal to Strength upgrades purchased.,"The Force user can hurl objects to damage targets, by making a ranged combat check combined with a Move power check, dealing damage equal to 10 times silhouette.",,Spend 1 force die to increase targets affected equal to Magnitude upgrades purchased.,Spend 1 force die to increase silhouette to able to be targeted equal to Strength upgrades purchased.,The Force user can pull objects out of secure mountings or out of an opponent's grasp.,Spend 1 force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend 1 force die to increase targets affected equal to Magnitude upgrades purchased.,Spend 1 force die to increase silhouette to able to be targeted equal to Strength upgrades purchased.,"The character can perform fine manipulation of items, allowing him to do whatever he could normally do with his hands via this power at this power's range.",,https://star-wars-rpg-ffg.fandom.com/wiki/Move,TRUE
Protect/Unleash,This force power allows a user to call upon the force to protect themselves and others - as well as unleash it to damage those that would harm them.,Range,Strength,Strength,Control,Range,Magnitude,Range,Control,Magnitude,Strength,Strength,Duration,Control,Mastery,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Protect/Unleash,FALSE
Psychometry,"At its most basic, Psychometry allows a Force user to make physical contact with an item and recall emotional impressions left upon it by its owner or most recent user. (Treat as Engaged range.) The user may spend one force die to gain a sense of the emotional state of the object’s user during its most recent use, up to one day in the past.",Magnitude,Magnitude,Range,Range,Magnitude,Magnitude,Range,Range,Magnitude,Control,Control,,Mastery,,,,Spend one force die to enable the user to perceive feelings or events regarding the object up to one month in the past.,Spend one force die to enable the user to perceive feelings or events regarding the object up to one week in the past.,Spend one force die to enable the user to perceive details about feelings or events regarding the object up to an additional range band per rank of Range upgrade purchased.,Spend one force die to enable the user to perceive details about feelings or events regarding the object up to an additional range band per rank of Range upgrade purchased.,Spend one force die to enable the user to perceive feelings or events regarding the object up to one year in the past.,Spend one force die to enable the user to perceive feelings or events regarding the object up to one decade in the past.,Spend one force die to enable the user to perceive details about feelings or events regarding the object up to an additional range band per rank of Range upgrade purchased.,Spend one force die to enable the user to perceive details about feelings or events regarding the object up to an additional range band per rank of Range upgrade purchased.,Spend one force die to enable the user to perceive feelings or events regarding the object up to one century in the past.,Sight: the user can perceive images of the events surrounding the object's use,Sound: the user can perceive sounds of the events surrounding the object's use,,The user can perceive a full sensory illusion of events surrounding the object's use throughout its lifetime.,,,,https://myswrpg.com/force-power-psychometry/,TRUE
Seek,"The Force user casts out with his mind's eye, searching for something lost, concealed, or forgotten. While countless different Force traditions across the galaxy have attached different practices and techniques to this power, from tribal cultures that use it to hunt prey-beasts to orders of assassins who seek out any who defy their orthodoxy, the basic ability remains the same: those who follow pathways of the Force can track down anything or anyone, regardless of the distance or eons that separate them from their quarry.",Magnitude,Control,,,Strength,Magnitude,Magnitude,,Control,Strength,Mastery,,Duration,Control,Mastery,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Seek,FALSE
Sense,The Force user can sense the Force interacting with the world around him. The user may spend one force die to sense all living things within short range (including sentient and non-sentient beings). The user may spend one force die to sense the current emotional state of one living target with whom he is engaged.,Control,Control,,,Duration,Range,Magnitude,,Strength,Range,Magnitude,,Control,Range,Magnitude,,"Ongoing effect: commit one force die. Once per round, when an attack targets the Force user, he upgrades the difficulty of the pool once.",Effect: Spend one force die. The Force user senses the current thoughts of one living target with whom he is engaged.,,,Sense's ongoing effects may be triggered one additional time per round.,Spend one force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend one force die to increase number of targets affected by power equal to Magnitude upgrades purchased.,,"When using Sense's ongoing effects, upgrade the pool twice, instead of once.",Spend one force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend one force die to increase number of targets affected by power equal to Magnitude upgrades purchased.,,"Ongoing effect: Commit one force die. Once per round, when the Force user makes a combat check, he upgrades the ability of that check once.",Spend one force die to increase power's range by a number of range bands equal to Range upgrades purchased.,Spend one force die to increase number of targets affected by power equal to Magnitude upgrades purchased.,,https://star-wars-rpg-ffg.fandom.com/wiki/Sense,TRUE
Suppress,This power allows an individual to dampen and nullify the effects of opponent force powers.,Strength,Duration,Range,,Control,Range,,,Strength,Control,Range,,Mastery,Control,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Suppress,FALSE
Warde's Foresight,"This power, developed by the Jedi known as Suljo Warde, allows a user to see into the future of an individual. It can only be obtained by studying the correct holocron and acquiring the appropriate kyber crystal keys.",Range,Control,,,Strength,Control,Duration,Duration,Range,Duration,Control,Magnitude,Strength,Control,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Warde%27s_Foresight,FALSE
